country_chn,cur_chn,cur_eng,symbol,symbol_std,exchange
埃及,埃及镑,EgyptianPound,￡E.;LF.,EGP,"1EGP=100piastres（皮阿斯特）=1,000milliemes（米利姆）"
利比亚,利比亚第纳尔,LibyanDinar,LD.,LYD,"1LYD=100piastres（皮阿斯特）=1,000milliemes（米利姆）"
苏丹,苏丹镑,SudanesePound,￡S.,SDP,"1SDP=100piastres（皮阿斯特）=1,000milliemes（米利姆）"
突尼斯,突尼斯第纳尔,TunisianDinar,TD.,TND,"1TND=1,000milliemes（米利姆）"
阿尔及利亚,阿尔及利亚第纳尔,AlgerianDinar,AD.,DZD,1DZ=100centimes（分）
摩洛哥,摩洛哥迪拉姆,MoroccanDirham,DH.,MAD,1MAD=100centimes（分）
毛里塔尼亚,乌吉亚,MauritaniaOuguiya,UM,MRO,1MRO=5khoums（库姆斯）
塞内加尔,非共体法郎,AfricanFinancialCommunityFranc,C.F.A.F.,XOF,1XOF=100centimes（分）
上沃尔特,非共体法郎,AfricanFinancialCommunityFranc,C.F.A.F.,XOF,1XOF=100centimes（分）
科特迪瓦,非共体法郎,AfricanFinancialCommunityFranc,C.F.A.F.,XOF,1XOF=100centimes（分）
多哥,非共体法郎,AfricanFinancialCommunityFranc,C.F.A.F.,XOF,1XOF=100centimes（分）
贝宁,非共体法郎,AfricanFinancialCommunityFranc,C.F.A.F.,XOF,1XOF=100centimes（分）
尼日尔,非共体法郎,AfricanFinancialCommunityFranc,C.F.A.F.,XOF,1XOF=100centimes（分）
冈比亚,法拉西,GambianDalasi,D.G.,GMD,1GMD=100bututses（分）
几内亚比绍,几内亚比索,Guine-Bissaupeso,PG.,GWP,1GWP=100centavos（分）
几内亚,几内亚西里,GuineanSyli,GS.,GNS,"辅币为科里cauri,但50科里以下舍掉不表示；50科里以上进为一西里。"
塞拉里昂,利昂,SierraLeoneLeone,Le.,SLL,1SLL=100cents（分）
利比里亚,利比里亚元,LiberianDollar,L.$￡;Lib.$,LRD,1LRD=100cents（分）
加纳,塞地,GhanaianCedi,￠,GHC,1GHC=100pesewas（比塞瓦）
尼日利亚,奈拉,NigerianNaira,N,NGN,1NGN=100kobo（考包）
喀麦隆,中非金融合作法郎,CentralAfricanFinan-CoopFranc,CFAF,XAF,1XAF=100centimes（分）
乍得,中非金融合作法郎,CentralAfricanFinan-CoopFranc,CFAF,XAF,1XAF=100centimes（分）
刚果,中非金融合作法郎,CentralAfricanFinan-CoopFranc,CFAF,XAF,1XAF=100centimes（分）
加蓬,中非金融合作法郎,CentralAfricanFinan-CoopFranc,CFAF,XAF,1XAF=100centimes（分）
中非,中非金融合作法郎,CentralAfricanFinan-CoopFranc,CFAF,XAF,1XAF=100centimes（分）
赤道几内亚,赤道几内亚埃奎勒,EquatorialGuineaEkuele,EK.,GQE,1GQE=100centimes（分）
南非,兰特,SouthAfricanRand,R.,ZAR,1ZAR=100cents（分）
吉布提,吉布提法郎,DjiboutiFranc,DJ.FS;DF,DJF,1DJF=100centimes（分）
索马里,索马里先令,SomaliShilling,Sh.So.,SOS,1SOS=100cents（分）
肯尼亚,肯尼亚先令,KenyaShilling,K.Sh,KES,1KES=100cents（分）
乌干达,乌干达先令,UgandaShilling,U.Sh.,UGS,1UGS=100cents（分）
坦桑尼亚,坦桑尼亚先令,TanzaniaShilling,T.Sh.,TZS,1TZS=100cents（分）
卢旺达,卢旺达法郎,RwandaFranc,RF.,RWF,1RWF=100cents（分）
布隆迪,布隆迪法郎,BurnudiFranc,F.Bu,BIF,1BIF=100cents（分）
扎伊尔,扎伊尔,ZaireRpZaire,Z.,ZRZ,1ZRZ=100makuta（马库塔）
赞比亚,赞比亚克瓦查,ZambianKwacha,KW.;K.,ZMK,1ZMK=100nywee（恩韦）
马达加斯加,马达加斯加法郎,FrancdeMadagasca,F.Mg.,MCF,1MCF=100cents（分）
塞舌尔,塞舌尔卢比,SeychellesRupee,S.RP(S),SCR,1SCR=100cent（分）
毛里求斯,毛里求斯卢比,MauritiusRupee,Maur.Rp.,MUR,1MUR=100centimes（分）
津巴布韦,津巴布韦元,ZimbabweDollar,ZIM.$,ZWD,1ZWD=100cents（分）
科摩罗,科摩罗法郎,ComorosFranc,Com.F.,KMF,1KMF=100tambala（坦巴拉）
欧洲货币联盟,欧元,Euro,EUR,EUR,1EUR=100eurocents（生丁）
冰岛,冰岛克朗,IcelandicKrona（复数：Kronur）,I.Kr.,ISK,1ISK=100aurar（奥拉）
丹麦,丹麦克朗,DanishKrona（复数：Kronur）,D.Kr.,DKK,1DKK=100ore（欧尔）
挪威,挪威克朗,NorwegianKrone（复数：Kronur）,N.Kr.,NOK,1NOK=100ore（欧尔）
瑞典,瑞典克朗,SwedishKrona（复数：Kronor）,S.Kr.,SEK,1SEK=100ore（欧尔）
芬兰,芬兰马克,FinnishMarkka(orMark),MK.;FM.;FK.;FMK.,FIM,1FIM=100penni（盆尼）
俄罗斯,卢布,RussianRuble(orRouble),Rbs.Rbl.,RUB,1卢布=100kopee（戈比）
波兰,兹罗提,PolishZloty,ZL.,PLN,1PLN=100groszy（格罗希）
捷克和斯洛伐克,捷克克朗,CzechishKoruna,Kcs.;Cz.Kr.,CSK,100Hellers=（赫勒）
匈牙利,福林,HungarianForint,FT.,HUF,1HUF=100filler（菲勒）
德国,马克,DeutscheMark,DM.,DEM,1DEM=100pfennig（芬尼）
奥地利,奥地利先令,AustrianSchilling,Sch.,ATS,1ATS=100Groschen（格罗申）
瑞士,瑞士法郎,SwissFranc,SF.;SFR.,CHF,1CHF=100centimes（分）
荷兰,荷兰盾,DutchGuilder(orFlorin),Gs.;Fl.;Dfl.;Hfl.;fl.,NLG,1NLG=100cents（分）
比利时,比利时法郎,BelgianFranc,Bi.;B.Fr.;B.Fc.,BEF,1BEF=100centimes（分）*
卢森堡,卢森堡法郎,LuxembourgFranc,Lux.F.,LUF,1LUF=100centimes（分）
英国,英镑,"Pound,Sterling",￡;￡Stg.,GBP,1GBP=100newpence（新便士）
爱尔兰,爱尔兰镑,Irishpound,￡.Ir.,IEP,1IEP=100newpence（新便士）
法国,法郎,FrenchFranc,F.F.;Fr.Fc.;F.FR.,FRF,1FRF=100centimes（分）
西班牙,比塞塔,SpanishPeseta,Pts.;Pes.,ESP,1ESP=100centimos（分）
葡萄牙,埃斯库多,PortugueseEscudo,ESC.,PTE**,1PTE=100centavos（分）
意大利,里拉,ItalianLira,Lit.,ITL,1ITL=100centesimi（分）***
马耳他,马耳他镑,MaltessPound,￡.M.,MTP,1MTP=100cents（分）1Cent=10mils（米尔）
南斯拉夫,南斯拉夫新第纳尔,YugoslavDin,Din.Dr.,YUD,1YUD=100paras（帕拉）
罗马尼亚,列伊,RumanianLeu（复数：Leva）,L.,ROL,1ROL=100bani（巴尼）
保加利亚,列弗,BulgarianLev（复数：Lei）,Lev.,BGL,1BGL=100stotinki（斯托丁基）
阿尔巴尼亚,列克,AlbanianLek,Af.,ALL,1All=100quintars（昆塔）
希腊,德拉马克,GreekDrachma,Dr.,GRD,1GRD=100lepton（雷普顿）orlepta（雷普塔）
加拿大,加元,CanadianDollar,Can.$,CAD,1CAD=100cents（分）
美国,美元,U.S.Dollar,U.S.$,USD,1USD=100cent（分）
墨西哥,墨西哥比索,MexicanPeso,Mex.$,MXP,1MXP=100centavos（分）
危地马拉,格查尔,QuatemalanQuetzal,Q,GTQ,1GTQ=100centavos（分）
萨尔瓦多,萨尔瓦多科朗,SalvadoranColon,￠,SVC,1SVC=100centavos（分）
洪都拉斯,伦皮拉,HonduranLempira,L.,HNL,1HNL=100centavos（分）
尼加拉瓜,科多巴,NicaraguanCordoba,CS,NIC,1NIC=100centavos（分）
哥斯达黎加,哥斯达黎加科朗,CostaRicanColon,￠,CRC,1CRC=100centavos（分）
巴拿马,巴拿马巴波亚,PanamanianBalboa,B.,PAB,1PAB=100centesimos（分）
古巴,古巴比索,CubanPeso,Cu.Pes.,CUP,1CUP=100centavos（分）
巴哈马联邦,巴哈马元,BahamanDollar,B.$,BSD,1BSD=100cents（分）
牙买加,牙买加元,JamaicanDollars,$.J.,JMD,1JMD=100cents（分）
海地,古德,HaitianGourde,G.;Gds.,HTG,1HTG=100centimes（分）
多米尼加,多米尼加比索,DominicanPeso,R.D.$,DOP,1DOP=100centavos（分）
特立尼达和多巴哥,特立尼达多巴哥元,TrinidadandTobagoDollar,T.T.$,TTD,1TTD=100cents（分）
巴巴多斯,巴巴多斯元,BarbadosDollar,BDS.$,BBD,1BBD=100cents（分）
哥伦比亚,哥伦比亚比索,ColombianPeso,Col$,COP,1COP=100centavos（分）
委内瑞拉,博利瓦,VenezuelanBolivar,B,VEB,1VEB=100centimos（分）
圭亚那,圭亚那元,GuyananDollar,G.$,GYD,1GYD=100cents（分）
苏里南,苏里南盾,SurinamFlorin,S.Fl.,SRG,苏1SRG=100分
秘鲁,新索尔,PeruvianSol,S/.,PES,1PES=100centavos（分）
厄瓜多尔,苏克雷,EcuadoranSucre,S/.,ECS,1ECS=100centavos（分）
巴西,新克鲁赛罗,BrazilianNewCruzeiroG,Gr.$,BRC,1BRC=100centavos（分）
玻利维亚,玻利维亚比索,BolivianPeso,Bol.P.,BOP,1BOP=100centavos（分）
智利,智利比索,ChileanPeso,P.,CLP,1CLP=100centesimos（分）
