,SERIES,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,% Change 2016-2015
Albania,VFN,,,,,189,379,331,688,562,"1,189","1,233","1,005",880,"1,267","1,346","1,718","1,967","3,129","3,961","3,882","4,307","6,256",45.25
Algeria,VFN,,,,,,,,,,,,,,,,,"20,153","25,383","24,444","27,620","48,056","29,966",-37.64
American Samoa,TFN,258,669,111,262,37,351,722,,,,501,439,,229,325,257,401,400,425,354,363,370,1.93
Angola,TFR,,,,215,268,475,653,712,,,"5,849","9,636","18,500","43,035","51,900","60,577","69,907","69,334","84,300","49,965","76,016","33,333",-56.15
Antigua and Barbuda,TFR,,,,,,,,,,,,,,,,,342,450,540,652,712,604,-15.17
Armenia,TFR,6,35,105,68,158,172,225,305,345,968,"1,685","3,020","7,780","8,100","8,400","8,450","9,713","9,867","9,924","8,635","2,259","3,270",44.75
Australia,VFR,"42,600","54,000","65,843","76,544","92,585","120,259","157,955","190,016","176,128","251,300","285,031","308,484","357,557","356,428","356,240","445,860","533,370","618,820","708,770","840,660","1,025,490","1,198,920",16.91
Austria,THSR,,,,,,,,,,"166,970","171,122","171,384","165,313","147,364","147,417","173,116","245,340","338,064","391,509","476,693","689,415","702,683",1.92
Austria,TCER,,,,,,,,,,"172,361","176,777","176,680","171,123","156,190","155,179","182,282","259,944","354,657","408,509","497,925","715,119","731,529",2.29
Azerbaijan,VFR,,,,,,,,591,"1,280","1,532","1,595","2,061","2,458","7,138","6,322","5,846","6,224","5,060","6,465","5,930","5,097","7,363",44.46
Azerbaijan,THSR,,,,,,,,,,,714,"49,099","7,518","4,285","3,545","5,037","3,671","4,329","5,240","6,541","3,905","6,210",59.03
Bahamas,TFR,,,,,,503,356,155,279,345,290,278,206,265,486,384,682,890,782,"1,695","2,586","3,086",19.33
Bahrain,VFN,,,"1,544","2,441","2,128","2,383","4,186","6,693","6,051","7,669","8,699","10,136","13,193",,,,"22,418","22,805","1,211","28,616",,,
Bangladesh,TFN,"3,408","4,016","4,869","4,379","5,208","5,901","6,867","6,681","7,021","9,238","6,892","6,955","11,825",,,,,,,,,,
Barbados,TFR,,,,,114,175,166,274,185,214,372,355,478,399,531,397,403,499,485,557,643,646,0.47
Belarus,TFN,217,672,900,"1,089",246,100,115,399,361,323,375,343,599,376,391,603,364,314,682,266,992,"1,579",59.17
Belarus,VFN,,,,,,,,,,,,,,,,,,"8,566","11,374","11,750","17,359","18,014",3.77
Belgium,THSR,,,,"50,937","56,981","54,842","61,166","111,384","105,699","112,685","106,345","104,239","94,864","71,734","71,547","75,201","95,880","115,909","142,770","162,404","201,276","140,961",-29.97
Belgium,TCER,"17,415","30,866","48,703","51,428","57,642","55,384","62,037","112,652","107,016","114,456","108,702","107,380","98,150","74,959","75,219","79,908","101,448","122,054","149,399","169,075","209,045","147,654",-29.37
Benin,TFR,,,,,127,189,27,89,100,124,209,266,300,"1,073",410,371,580,"1,877","3,870","8,687","7,915","8,213",3.77
Bhutan,TFN,3,,9,12,11,10,27,25,23,78,234,362,504,"1,069","1,143","1,494","2,896","3,766","4,764","8,111","9,399","9,210",-2.01
Bosnia and Herzegovina,TCER,,,74,37,57,80,109,307,315,276,308,194,497,534,478,770,"2,244","3,369","5,642","6,549","9,948","13,266",33.35
Botswana,TFR,411,214,440,385,433,586,462,"1,203",934,"1,062",,"1,586","2,197","1,797","2,719","4,171",,"9,189","1,271","2,442","1,058",,
Brazil,TFR,"7,749","13,143","12,014","16,005","17,506","17,881","18,320","13,981","10,714","16,305","18,017","31,156","23,490","39,514","28,230","37,849","55,978","65,945","60,140","57,502","53,064","57,860",9.04
Brunei Darussalam,TFN,,,,,,,,,,"5,000",,,"28,252","27,652","15,800","24,579","32,853","27,490","30,481","26,473","36,886","40,838",10.71
Bulgaria,VFR,"3,267","2,544","3,061","3,141","3,733","3,850","3,079","3,570","3,408","4,125","4,108","4,637","5,148","6,207","6,165","6,438","6,638","8,685","11,570","15,242","16,935","20,829",22.99
Bulgaria,THSR,,,,,,,,,,,,,,"2,574","3,851","3,847","5,439","9,095","10,641","13,306","15,942","19,687",23.49
Burkina Faso,THSN,421,444,468,511,714,"1,249",654,872,910,"1,473","1,830","1,520","1,990","1,460","1,591","1,898","1,587","2,262","2,492","17,651","3,128","2,568",-17.90
Cambodia,TFR,"22,886","22,029","17,282","18,035","26,805","30,586","32,002","54,045","38,664","46,325","59,153","80,540","118,417","129,626","128,210","177,636","247,197","333,894","463,123","560,335","694,712","830,003",19.47
